,Player,player_name,All_NBA,All_Star,Draft_Yr,Pk,Team,College,Yrs,Games_Career,Minutes_Played_Career,PTS_Career,TRB_Career,AST_Career,FG_Percentage,TP_Percentage,FT_Percentage,Minutes_per_Game,Points_Per_Game,TRB_per_Game,Assists_per_Game,Win_Share,WS_per_game,BPM_Career,VORP_Career,Executive,exec_name,Prior_Player,ethnic,Tenure,tenure_years,Exec_ID,Exec_draft_exp,attend_college,first_year,second_year,third_year,fourth_year,fifth_year
67,ChrisEngler,chrisengler,0,0,1982,60,GSW,University of Wyoming,5,195,1405,343,386,45,0.411,0,0.677,7.2,1.8,2,0.2,0.6,0.02,-5.8,-1.4,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
68,KenStancell,kenstancell,0,0,1982,83,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
69,AlbertIrving,albertirving,0,0,1982,106,GSW,Alcorn State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
70,DavidVann,davidvann,0,0,1982,129,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
71,MattWaldron,mattwaldron,0,0,1982,152,GSW,University of the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
72,MarkKing,markking,0,0,1982,175,GSW,Florida Southern College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
73,NickMorken,nickmorken,0,0,1982,198,GSW,University of Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
74,RandyWhieldon,randywhieldon,0,0,1982,219,GSW,"University of California, Irvine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,7,1,0,0,0,0,0
75,RussellCross,russellcross,0,0,1983,6,GSW,Purdue University,1,45,354,166,82,22,0.571,0,0.418,7.9,3.7,1.8,0.5,0.8,0.106,-1.8,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
76,PaceMannion,pacemannion,0,0,1983,43,GSW,University of Utah,6,216,2125,660,259,231,0.413,0.203,0.663,9.8,3.1,1.2,1.1,1.7,0.038,-2.9,-0.5,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
77,MikeHolton,mikeholton,0,0,1983,53,GSW,"University of California, Los Angeles",6,325,5836,2016,459,977,0.441,0.257,0.807,18,6.2,1.4,3,4.8,0.039,-3.9,-2.8,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
78,PeterThibeaux,peterthibeaux,0,0,1983,77,GSW,Saint Mary's College of California,2,93,992,462,144,45,0.453,0.286,0.626,10.7,5,1.5,0.5,0.1,0.005,-5.4,-0.9,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
79,GregHines,greghines,0,0,1983,99,GSW,Hampton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
80,TomHeywood,tomheywood,0,0,1983,123,GSW,Weber State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AlAttles,alattles,1,AA,3641,9.98,1,8,1,0,0,0,0,0
